text,created
RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…,9/1/2017 22:37
RT @GovMaryFallin: I'm asking Oklahomans to pray for victims of Tropical Depression Harvey and first responders offering assistance. https:…,9/1/2017 22:30
Harvey is a Tropical Depression? Sounds like me on vacation. haha,9/1/2017 22:26
ALERT: Tropical Depression Harvey is beginning to lose its tropical characteristics as heavy rain spreads into the… https://t.co/MM4SHvrObA,9/1/2017 22:26
RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…,9/1/2017 21:40
"⚡️ “State of emergency declared for Tropical Depression Emily” by @WESH
What happened to F  and G?  Then Harvey?
https://t.co/KYjY304DqX",9/1/2017 21:39
"RT @SheliaOConnor: We are in Lake Charles, LA where they caught the remnants of Tropical Depression Harvey. I'll have updates throughout th…",9/1/2017 21:26
"RT @NC5_AmyWatson: It's Nashville, not Houston this time! Nothing like what Texas got but Tropical Depression Harvey is still... https://t.…",9/1/2017 21:23
HEAR YEE HEAR YEE FLOOD WARNING FROM HIGH WINDS FOR GROSSE ISLE/MONROE COUNTY SATURDAY. TROPICAL DEPRESSION HARVEY TOO CLOSE FOR COMFORT-BOO,9/1/2017 21:21
"RT @citizentvkenya: Harvey Downgraded to Tropical Depression, Still a Danger https://t.co/B8Jn4N8A0J https://t.co/Sg8y4hFwfD",9/1/2017 20:46
"RT @SheliaOConnor: We are in Lake Charles, LA where they caught the remnants of Tropical Depression Harvey. I'll have updates throughout th…",9/1/2017 20:46
RT @wkupublicradio: Tropical Depression Harvey Brings Heavy Rainfall to South Central Kentucky https://t.co/y05aN7YgEy,9/1/2017 20:45
"RT @SheliaOConnor: We are in Lake Charles, LA where they caught the remnants of Tropical Depression Harvey. I'll have updates throughout th…",9/1/2017 20:40
"RT @SheliaOConnor: We are in Lake Charles, LA where they caught the remnants of Tropical Depression Harvey. I'll have updates throughout th…",9/1/2017 20:38
"We are in Lake Charles, LA where they caught the remnants of Tropical Depression Harvey. I'll have updates througho… https://t.co/tXS19LPo0M",9/1/2017 20:34
"Tropical Depression Harvey has moved out of Tennessee but still is impacting most of Kentucky, Indiana, and Ohio! https://t.co/GhHzUYo2GM",9/1/2017 20:34
RT @GovMaryFallin: I'm asking Oklahomans to pray for victims of Tropical Depression Harvey and first responders offering assistance. https:…,9/1/2017 20:30
I'm asking Oklahomans to pray for victims of Tropical Depression Harvey and first responders offering assistance. https://t.co/5iVobUl7Ye,9/1/2017 20:27
"RT @auntie_social: I am suffering from Tropical Depression, it's lasted over 6 days.  It seems to be contagious. Does anyone know if there'…",9/1/2017 20:18
@EmilyTWN @RCAF_ARC The leading edge of the tropical depression #Harvey view!  Nice!,9/1/2017 20:17
Tropical Depression #Harvey https://t.co/rvqW706i3n,9/1/2017 20:14
Kentuckiana is getting pretty saturated now by tropical depression Harvey https://t.co/mD8RBmFyB2,9/1/2017 20:13
RT @wkupublicradio: Tropical Depression Harvey Brings Heavy Rainfall to South Central Kentucky https://t.co/y05aN7YgEy,9/1/2017 20:12
Tropical Depression Harvey Brings Heavy Rainfall to South Central Kentucky https://t.co/y05aN7YgEy,9/1/2017 20:12
"@MajorLinux IIRC, it's bits of what is now Tropical Storm/Depression Harvey.",9/1/2017 20:09
"RT @Emily_Unglesbee: #Harvey drenched the Delta region as #harvest17 began, with the most crop damage expected among Louisiana farmers: htt…",9/1/2017 20:09
RT @AHS_Distance: When your rest day just happens to coincide with the arrival of tropical depression Harvey. https://t.co/Szxwd4wuix,9/1/2017 20:03
When your rest day just happens to coincide with the arrival of tropical depression Harvey. https://t.co/Szxwd4wuix,9/1/2017 20:02
"LATEST CONFIRMED DETAILS
Tropical Depression Harvey

The latest death toll from Tropical Storm Harvey, in all areas… https://t.co/Rtemra3qHC",9/1/2017 20:01
